iter	Passed	Remaining
0	0	46
1	0	42
2	1	40
3	1	38
4	1	37
5	2	35
6	2	35
7	3	34
8	3	34
9	3	33
10	4	33
11	4	33
12	4	32
13	5	32
14	5	32
15	6	31
16	6	31
17	6	31
18	7	30
19	7	30
20	7	29
21	8	29
22	8	29
23	9	29
24	9	29
25	10	28
26	10	28
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	19
49	18	18
50	19	18
51	19	17
52	19	17
53	20	17
54	20	16
55	20	16
56	21	16
57	21	15
58	22	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	33	3
90	33	3
91	34	2
92	34	2
93	34	2
94	35	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
